date,month,project_name,project_size,team_name,developer_name,developer_count,repository_name,commits,pull_requests,merge_conflicts,issues_resolved,bugs_reported,lines_added,lines_deleted
2025-01-01,2025-01,AuthFlow,Small,Frontend,Arif Permata,4,authflow-web,14,5,0,3,1,1527,1049
2025-01-01,2025-01,CommerceCore,Large,Backend,Arif Saputra,18,commercecore-api,12,5,1,3,0,2655,1411
2025-01-01,2025-01,CommerceCore,Large,Backend,Eka Mahendra,18,commercecore-api,11,5,3,3,2,1911,834
2025-01-01,2025-01,CommerceCore,Large,Data,Rani Nugraha,18,commercecore-warehouse,13,4,0,7,1,1676,431
2025-01-01,2025-01,LogisticsOS,Large,Backend,Hana Adinata,26,logisticsos-routing,4,1,0,3,0,539,350
2025-01-01,2025-01,LogisticsOS,Large,Data,Hana Yuliani,26,logisticsos-forecasting,7,5,2,5,2,675,458
2025-01-01,2025-01,LogisticsOS,Large,Frontend,Ilham Firmansyah,26,logisticsos-control-tower,8,3,0,3,2,521,229
2025-01-02,2025-01,CampusPay,Small,Data,Farah Permata,5,campuspay-analytics,19,12,2,9,1,1277,256
2025-01-02,2025-01,CommerceCore,Large,Frontend,Alya Basuki,18,commercecore-storefront,10,0,0,3,0,1182,517
2025-01-02,2025-01,CommerceCore,Large,Mobile,Karina Santoso,18,commercecore-mobile,16,7,3,7,2,2036,885
2025-01-02,2025-01,FinSight,Large,Backend,Hana Mahendra,20,finsight-api,5,1,0,0,1,934,330
2025-01-02,2025-01,FinSight,Large,DevOps,Joko Kusuma,20,finsight-platform,8,2,1,3,2,1470,464
2025-01-02,2025-01,InventoryHub,Medium,Data,Salsa Yuliani,9,inventoryhub-reporting,14,4,0,7,3,1121,481
2025-01-02,2025-01,LearningPortal,Medium,Backend,Eka Yuliani,12,learningportal-api,10,5,2,2,1,820,306
2025-01-02,2025-01,LearningPortal,Medium,Frontend,Eka Anwar,12,learningportal-web,14,6,1,6,3,1605,693
2025-01-02,2025-01,LogisticsOS,Large,Backend,Dimas Kusuma,26,logisticsos-api,5,4,2,4,1,713,152
2025-01-03,2025-01,AuthFlow,Small,Backend,Fikri Firmansyah,4,authflow-api,9,6,0,5,0,1204,848
2025-01-03,2025-01,HealthTrack,Large,Frontend,Vina Basuki,22,healthtrack-clinic,5,4,1,3,0,821,414
2025-01-03,2025-01,LearningPortal,Medium,Backend,Joko Basuki,12,learningportal-api,11,3,0,4,1,1290,701
2025-01-03,2025-01,LearningPortal,Medium,Data,Ayu Saputra,12,learningportal-recommendation,11,3,0,3,1,616,342
2025-01-03,2025-01,LogisticsOS,Large,Data,Hana Santoso,26,logisticsos-forecasting,7,3,0,3,1,793,239
2025-01-04,2025-01,CampusPay,Small,Mobile,Naufal Nugraha,5,campuspay-mobile,21,6,0,10,3,1850,919
2025-01-05,2025-01,CommerceCore,Large,DevOps,Nadia Adinata,18,commercecore-platform,8,4,0,5,1,1199,751
2025-01-05,2025-01,InventoryHub,Medium,Backend,Dewi Nugraha,9,inventoryhub-api,10,8,4,6,1,1213,590
2025-01-06,2025-01,CommerceCore,Large,Data,Bagas Saputra,18,commercecore-warehouse,11,5,0,5,2,1805,958
2025-01-06,2025-01,FinSight,Large,Frontend,Gita Hartono,20,finsight-dashboard,6,2,1,1,0,1314,736
2025-01-06,2025-01,HealthTrack,Large,Backend,Nadia Pratama,22,healthtrack-api,8,4,0,3,2,1156,533
2025-01-06,2025-01,InventoryHub,Medium,Data,Farah Basuki,9,inventoryhub-reporting,9,3,0,3,0,522,249
2025-01-06,2025-01,LogisticsOS,Large,DevOps,Gita Adinata,26,logisticsos-infra,9,5,4,4,2,1545,817
2025-01-06,2025-01,LogisticsOS,Large,Mobile,Tegar Basuki,26,logisticsos-driver,3,6,1,4,0,295,202
2025-01-07,2025-01,CommerceCore,Large,DevOps,Gita Permata,18,commercecore-platform,8,4,1,2,2,1556,908
2025-01-07,2025-01,FinSight,Large,Backend,Ilham Mahendra,20,finsight-api,10,3,0,3,4,2086,577
2025-01-07,2025-01,LogisticsOS,Large,DevOps,Bima Saputra,26,logisticsos-infra,5,2,1,3,1,690,492
2025-01-08,2025-01,CampusPay,Small,Backend,Karina Pratama,5,campuspay-api,11,5,0,3,0,976,168
2025-01-08,2025-01,HealthTrack,Large,DevOps,Bagas Kusuma,22,healthtrack-platform,7,2,1,7,1,1180,319
2025-01-08,2025-01,InventoryHub,Medium,Frontend,Joko Anwar,9,inventoryhub-admin,13,7,1,3,1,385,249
2025-01-08,2025-01,SupportSuite,Medium,Frontend,Alya Hartono,10,supportsuite-console,10,6,0,4,1,838,369
2025-01-09,2025-01,FinSight,Large,DevOps,Rani Lestari,20,finsight-platform,6,3,0,1,2,1291,650
2025-01-09,2025-01,InventoryHub,Medium,DevOps,Made Yuliani,9,inventoryhub-infra,10,5,1,2,1,1323,596
2025-01-09,2025-01,LogisticsOS,Large,Mobile,Ilham Permata,26,logisticsos-driver,5,3,0,2,1,884,542
2025-01-09,2025-01,SupportSuite,Medium,Frontend,Putri Lestari,10,supportsuite-console,7,3,2,6,0,647,278
2025-01-10,2025-01,CampusPay,Small,Backend,Alya Lestari,5,campuspay-api,20,8,2,8,2,1224,509
2025-01-10,2025-01,CampusPay,Small,Mobile,Citra Saputra,5,campuspay-mobile,12,4,0,4,0,1598,857
2025-01-10,2025-01,CommerceCore,Large,Mobile,Ayu Ramadhan,18,commercecore-mobile,12,5,0,5,3,741,246
2025-01-10,2025-01,FinSight,Large,Backend,Bagas Nugraha,20,finsight-risk-engine,8,3,1,2,2,1301,388
2025-01-10,2025-01,InventoryHub,Medium,DevOps,Farah Saputra,9,inventoryhub-infra,10,2,0,3,0,1004,649
2025-01-10,2025-01,InventoryHub,Medium,Frontend,Eka Adinata,9,inventoryhub-admin,11,6,0,3,0,1747,688
2025-01-10,2025-01,SupportSuite,Medium,Backend,Laras Lestari,10,supportsuite-api,9,2,0,2,1,862,466
2025-01-11,2025-01,HealthTrack,Large,Mobile,Nadia Firmansyah,22,healthtrack-mobile,9,2,1,4,2,1248,301
2025-01-12,2025-01,FinSight,Large,Backend,Raka Lestari,20,finsight-api,10,3,0,0,2,1402,431
2025-01-12,2025-01,FinSight,Large,DevOps,Hana Pratama,20,finsight-platform,7,2,0,1,3,1483,792
2025-01-12,2025-01,LearningPortal,Medium,Backend,Eka Permata,12,learningportal-api,13,6,2,2,2,1669,471
2025-01-12,2025-01,LogisticsOS,Large,Backend,Laras Permata,26,logisticsos-api,7,3,1,3,1,815,567
2025-01-12,2025-01,SupportSuite,Medium,Backend,Salsa Anwar,10,supportsuite-api,13,3,2,3,1,1597,732
2025-01-13,2025-01,CommerceCore,Large,Mobile,Karina Mahendra,18,commercecore-mobile,8,4,1,6,0,1055,536
2025-01-13,2025-01,FinSight,Large,Data,Fikri Anwar,20,finsight-pipeline,8,2,1,4,2,1491,492
2025-01-13,2025-01,SupportSuite,Medium,Frontend,Eka Santoso,10,supportsuite-console,14,5,1,0,2,2347,1648
2025-01-14,2025-01,FinSight,Large,Backend,Hana Permata,20,finsight-api,10,3,1,7,3,1833,1095
2025-01-14,2025-01,FinSight,Large,Frontend,Bagas Basuki,20,finsight-dashboard,8,4,0,3,3,1002,612
2025-01-14,2025-01,LearningPortal,Medium,Frontend,Dimas Yuliani,12,learningportal-web,14,5,1,5,2,1047,267
2025-01-14,2025-01,LogisticsOS,Large,Frontend,Rizky Saputra,26,logisticsos-control-tower,4,3,1,5,1,592,185
2025-01-15,2025-01,CommerceCore,Large,Frontend,Farah Pratama,18,commercecore-storefront,11,3,0,6,1,1977,1056
2025-01-15,2025-01,FinSight,Large,Data,Hana Hartono,20,finsight-pipeline,10,5,3,1,3,1618,625
2025-01-15,2025-01,HealthTrack,Large,Mobile,Eka Kusuma,22,healthtrack-mobile,8,3,2,5,1,1324,830
2025-01-15,2025-01,LearningPortal,Medium,Mobile,Rizky Permata,12,learningportal-mobile,16,5,2,5,4,1250,392
2025-01-15,2025-01,LearningPortal,Medium,Mobile,Alya Ramadhan,12,learningportal-mobile,10,8,2,7,1,1573,1088
2025-01-16,2025-01,LearningPortal,Medium,Data,Raka Anwar,12,learningportal-recommendation,15,4,2,4,2,1769,835
2025-01-17,2025-01,CommerceCore,Large,Data,Putri Wijaya,18,commercecore-warehouse,12,8,2,5,1,1565,863
2025-01-17,2025-01,LearningPortal,Medium,Frontend,Bima Permata,12,learningportal-web,12,3,2,8,1,1023,588
2025-01-17,2025-01,SupportSuite,Medium,Data,Alya Mahendra,10,supportsuite-insights,5,1,0,4,0,346,163
2025-01-17,2025-01,SupportSuite,Medium,DevOps,Bima Nugraha,10,supportsuite-ops,15,3,0,9,4,534,236
2025-01-18,2025-01,CommerceCore,Large,Backend,Made Lestari,18,commercecore-api,17,9,1,6,1,2301,1432
2025-01-18,2025-01,CommerceCore,Large,Frontend,Farah Firmansyah,18,commercecore-storefront,12,4,0,2,0,1778,585
2025-01-18,2025-01,HealthTrack,Large,Frontend,Putri Santoso,22,healthtrack-clinic,12,4,1,4,1,1719,808
2025-01-18,2025-01,HealthTrack,Large,Frontend,Raka Pratama,22,healthtrack-clinic,8,4,1,2,3,782,349
2025-01-18,2025-01,InventoryHub,Medium,Backend,Naufal Wijaya,9,inventoryhub-api,11,5,1,3,0,1282,661
2025-01-18,2025-01,LogisticsOS,Large,DevOps,Bagas Hartono,26,logisticsos-infra,7,3,1,4,3,660,280
2025-01-19,2025-01,LogisticsOS,Large,Data,Bima Kusuma,26,logisticsos-forecasting,6,1,0,2,1,596,202
2025-01-20,2025-01,FinSight,Large,Data,Joko Wijaya,20,finsight-pipeline,5,2,0,3,0,578,76
2025-01-20,2025-01,HealthTrack,Large,Data,Farah Yuliani,22,healthtrack-models,5,3,1,2,0,732,339
2025-01-20,2025-01,HealthTrack,Large,Data,Bima Wijaya,22,healthtrack-models,9,5,0,3,1,1368,523
2025-01-20,2025-01,HealthTrack,Large,Data,Dewi Yuliani,22,healthtrack-models,7,4,1,4,1,1381,891
2025-01-20,2025-01,SupportSuite,Medium,DevOps,Gita Ramadhan,10,supportsuite-ops,11,3,0,4,1,847,373
2025-01-21,2025-01,FinSight,Large,Data,Bagas Pratama,20,finsight-pipeline,10,4,0,2,2,1039,528
2025-01-21,2025-01,LearningPortal,Medium,Data,Arif Basuki,12,learningportal-recommendation,8,5,1,5,2,1339,874
2025-01-21,2025-01,LogisticsOS,Large,Backend,Ilham Anwar,26,logisticsos-routing,8,3,3,4,1,1424,301
2025-01-21,2025-01,LogisticsOS,Large,DevOps,Andi Pratama,26,logisticsos-infra,5,3,3,2,1,884,473
2025-01-22,2025-01,CommerceCore,Large,Mobile,Rani Santoso,18,commercecore-mobile,4,6,3,2,2,698,196
2025-01-22,2025-01,LogisticsOS,Large,Data,Laras Kusuma,26,logisticsos-forecasting,9,3,1,3,1,1329,634
2025-01-23,2025-01,LogisticsOS,Large,Frontend,Citra Pratama,26,logisticsos-control-tower,9,4,2,4,2,1311,497
2025-01-23,2025-01,LogisticsOS,Large,Mobile,Laras Santoso,26,logisticsos-driver,8,2,0,7,0,1329,597
2025-01-23,2025-01,SupportSuite,Medium,Data,Joko Adinata,10,supportsuite-insights,14,5,2,6,2,1693,660
2025-01-24,2025-01,AuthFlow,Small,DevOps,Laras Nugraha,4,authflow-infra,14,12,1,5,1,1523,588
2025-01-24,2025-01,FinSight,Large,DevOps,Andi Yuliani,20,finsight-platform,9,3,0,4,2,708,359
2025-01-24,2025-01,FinSight,Large,Frontend,Vina Anwar,20,finsight-dashboard,6,2,1,4,1,540,136
2025-01-24,2025-01,HealthTrack,Large,Backend,Putri Yuliani,22,healthtrack-api,10,4,0,3,2,1594,394
2025-01-24,2025-01,LearningPortal,Medium,Mobile,Tegar Santoso,12,learningportal-mobile,7,5,1,4,1,1064,397
2025-01-25,2025-01,AuthFlow,Small,Backend,Arif Kusuma,4,authflow-api,12,10,1,4,3,854,477
2025-01-25,2025-01,CommerceCore,Large,DevOps,Andi Kusuma,18,commercecore-platform,9,3,1,3,2,1108,694
2025-01-25,2025-01,HealthTrack,Large,Data,Ilham Wijaya,22,healthtrack-models,9,3,2,7,2,1642,874
2025-01-25,2025-01,LogisticsOS,Large,Backend,Eka Ramadhan,26,logisticsos-api,7,5,2,1,1,1342,510
2025-01-25,2025-01,LogisticsOS,Large,Mobile,Gita Wijaya,26,logisticsos-driver,11,4,3,4,1,1858,867
2025-01-25,2025-01,SupportSuite,Medium,Backend,Citra Hartono,10,supportsuite-api,10,5,1,6,2,1273,705
2025-01-26,2025-01,LogisticsOS,Large,Backend,Laras Hartono,26,logisticsos-api,7,5,3,0,1,659,315
2025-01-26,2025-01,LogisticsOS,Large,Data,Ayu Basuki,26,logisticsos-forecasting,8,3,1,4,0,1023,268
2025-01-27,2025-01,CommerceCore,Large,Backend,Karina Lestari,18,commercecore-payment,13,3,1,5,2,1272,658
2025-01-27,2025-01,CommerceCore,Large,Frontend,Bima Santoso,18,commercecore-storefront,6,4,2,2,0,714,257
2025-01-27,2025-01,LogisticsOS,Large,DevOps,Arif Lestari,26,logisticsos-infra,4,3,2,2,1,682,313
2025-01-27,2025-01,LogisticsOS,Large,Frontend,Naufal Basuki,26,logisticsos-control-tower,7,2,1,3,3,1153,540
2025-01-28,2025-01,FinSight,Large,Frontend,Naufal Hartono,20,finsight-dashboard,6,3,1,2,0,1287,614
2025-01-28,2025-01,HealthTrack,Large,DevOps,Raka Santoso,22,healthtrack-platform,11,3,1,6,2,705,341
2025-01-28,2025-01,HealthTrack,Large,Frontend,Dimas Basuki,22,healthtrack-clinic,7,4,1,1,1,949,217
2025-01-28,2025-01,HealthTrack,Large,Mobile,Citra Adinata,22,healthtrack-mobile,6,3,0,4,2,1127,514
2025-01-29,2025-01,FinSight,Large,Data,Alya Pratama,20,finsight-pipeline,4,4,1,3,1,581,271
2025-01-29,2025-01,HealthTrack,Large,Backend,Fikri Santoso,22,healthtrack-api,5,3,0,2,2,505,203
2025-01-30,2025-01,HealthTrack,Large,Backend,Salsa Permata,22,healthtrack-api,6,4,1,5,0,549,336
2025-01-30,2025-01,HealthTrack,Large,DevOps,Nadia Nugraha,22,healthtrack-platform,4,3,1,4,0,351,123
2025-01-30,2025-01,HealthTrack,Large,Frontend,Dimas Anwar,22,healthtrack-clinic,11,8,2,6,2,1516,716
2025-01-30,2025-01,HealthTrack,Large,Mobile,Raka Hartono,22,healthtrack-mobile,7,5,1,3,1,1428,606
2025-01-30,2025-01,InventoryHub,Medium,Backend,Fikri Ramadhan,9,inventoryhub-api,17,9,1,3,0,1597,292
2025-01-30,2025-01,LogisticsOS,Large,Frontend,Laras Wijaya,26,logisticsos-control-tower,12,0,0,2,1,2669,1293
2025-01-30,2025-01,LogisticsOS,Large,Mobile,Nadia Permata,26,logisticsos-driver,7,4,2,4,1,725,407
2025-01-31,2025-01,FinSight,Large,DevOps,Joko Mahendra,20,finsight-platform,6,3,1,1,0,591,229
2025-01-31,2025-01,FinSight,Large,Frontend,Ayu Kusuma,20,finsight-dashboard,6,4,0,6,2,748,395
2025-01-31,2025-01,HealthTrack,Large,Backend,Ilham Basuki,22,healthtrack-integration,8,3,1,4,1,773,287
2025-01-31,2025-01,HealthTrack,Large,DevOps,Putri Kusuma,22,healthtrack-platform,9,4,1,4,1,1815,1090
2025-02-01,2025-02,CommerceCore,Large,Backend,Arif Saputra,18,commercecore-payment,7,3,1,4,2,1080,246
2025-02-01,2025-02,HealthTrack,Large,Mobile,Citra Adinata,22,healthtrack-mobile,3,6,1,7,0,329,111
2025-02-01,2025-02,LearningPortal,Medium,Backend,Eka Yuliani,12,learningportal-api,9,7,2,7,1,844,369
2025-02-01,2025-02,LogisticsOS,Large,Backend,Laras Permata,26,logisticsos-routing,11,4,2,3,0,1141,335
2025-02-01,2025-02,LogisticsOS,Large,DevOps,Arif Lestari,26,logisticsos-infra,7,2,0,1,2,855,435
2025-02-02,2025-02,FinSight,Large,Backend,Hana Permata,20,finsight-api,9,4,2,3,0,1627,931
2025-02-02,2025-02,HealthTrack,Large,DevOps,Nadia Nugraha,22,healthtrack-platform,12,2,1,8,1,2359,564
2025-02-02,2025-02,HealthTrack,Large,Frontend,Vina Basuki,22,healthtrack-clinic,10,5,0,3,1,938,126
2025-02-02,2025-02,HealthTrack,Large,Frontend,Raka Pratama,22,healthtrack-clinic,8,4,0,5,3,500,134
2025-02-02,2025-02,SupportSuite,Medium,Backend,Laras Lestari,10,supportsuite-api,11,4,0,5,1,2100,921
2025-02-03,2025-02,CommerceCore,Large,Data,Rani Nugraha,18,commercecore-warehouse,9,5,0,2,1,1335,434
2025-02-03,2025-02,CommerceCore,Large,Frontend,Farah Firmansyah,18,commercecore-storefront,10,5,1,3,2,709,345
2025-02-03,2025-02,FinSight,Large,Backend,Bagas Nugraha,20,finsight-risk-engine,8,5,1,4,1,1506,272
2025-02-03,2025-02,HealthTrack,Large,Backend,Ilham Basuki,22,healthtrack-api,10,4,1,2,1,1425,773
2025-02-03,2025-02,HealthTrack,Large,Backend,Nadia Pratama,22,healthtrack-api,12,2,0,3,2,2040,789
2025-02-03,2025-02,HealthTrack,Large,Backend,Salsa Permata,22,healthtrack-integration,8,5,1,0,1,1312,770
2025-02-03,2025-02,LearningPortal,Medium,Mobile,Alya Ramadhan,12,learningportal-mobile,9,5,0,4,2,854,296
2025-02-03,2025-02,LogisticsOS,Large,Backend,Dimas Kusuma,26,logisticsos-api,6,2,0,4,1,595,135
2025-02-04,2025-02,CommerceCore,Large,Frontend,Bima Santoso,18,commercecore-storefront,8,1,0,8,1,693,277
2025-02-04,2025-02,SupportSuite,Medium,Data,Alya Mahendra,10,supportsuite-insights,8,4,1,4,0,1288,479
2025-02-05,2025-02,FinSight,Large,Data,Joko Wijaya,20,finsight-pipeline,7,4,3,4,2,1219,538
2025-02-05,2025-02,FinSight,Large,DevOps,Joko Mahendra,20,finsight-platform,7,2,1,4,1,503,220
2025-02-05,2025-02,FinSight,Large,DevOps,Rani Lestari,20,finsight-platform,10,4,1,0,2,991,364
2025-02-05,2025-02,HealthTrack,Large,DevOps,Raka Santoso,22,healthtrack-platform,7,3,1,5,0,1522,1103
2025-02-05,2025-02,InventoryHub,Medium,Frontend,Eka Adinata,9,inventoryhub-admin,15,5,0,7,3,2478,520
2025-02-06,2025-02,AuthFlow,Small,DevOps,Laras Nugraha,4,authflow-infra,17,5,0,6,5,1486,359
2025-02-06,2025-02,CommerceCore,Large,Mobile,Ayu Ramadhan,18,commercecore-mobile,13,5,0,5,2,850,238
2025-02-06,2025-02,FinSight,Large,Frontend,Gita Hartono,20,finsight-dashboard,3,3,2,4,1,171,106
2025-02-06,2025-02,FinSight,Large,Frontend,Ayu Kusuma,20,finsight-dashboard,11,3,1,2,0,2076,358
2025-02-06,2025-02,FinSight,Large,Frontend,Bagas Basuki,20,finsight-dashboard,11,4,0,3,4,1540,753
2025-02-06,2025-02,HealthTrack,Large,Data,Ilham Wijaya,22,healthtrack-models,15,7,2,4,2,982,537
2025-02-06,2025-02,HealthTrack,Large,DevOps,Putri Kusuma,22,healthtrack-platform,11,4,2,4,0,1238,435
2025-02-06,2025-02,LearningPortal,Medium,Frontend,Eka Anwar,12,learningportal-web,9,5,0,7,0,1013,572
2025-02-06,2025-02,LogisticsOS,Large,Data,Bima Kusuma,26,logisticsos-forecasting,7,3,1,2,2,502,251
2025-02-06,2025-02,LogisticsOS,Large,Frontend,Rizky Saputra,26,logisticsos-control-tower,9,3,0,5,2,1530,318
2025-02-07,2025-02,CampusPay,Small,Mobile,Naufal Nugraha,5,campuspay-mobile,20,8,0,7,3,1434,240
2025-02-07,2025-02,CommerceCore,Large,Data,Bagas Saputra,18,commercecore-warehouse,7,4,0,8,2,1027,575
2025-02-07,2025-02,CommerceCore,Large,DevOps,Nadia Adinata,18,commercecore-platform,9,1,0,0,1,998,417
2025-02-07,2025-02,InventoryHub,Medium,DevOps,Farah Saputra,9,inventoryhub-infra,11,6,0,5,3,1654,898
2025-02-07,2025-02,LogisticsOS,Large,Frontend,Ilham Firmansyah,26,logisticsos-control-tower,7,3,1,3,1,1130,540
2025-02-07,2025-02,LogisticsOS,Large,Mobile,Laras Santoso,26,logisticsos-driver,2,1,0,1,0,306,169
2025-02-08,2025-02,FinSight,Large,Data,Fikri Anwar,20,finsight-pipeline,6,3,1,4,1,1083,377
2025-02-08,2025-02,HealthTrack,Large,Frontend,Dimas Anwar,22,healthtrack-clinic,7,1,0,7,2,1162,681
2025-02-08,2025-02,HealthTrack,Large,Frontend,Dimas Basuki,22,healthtrack-clinic,7,4,0,6,1,1393,874
2025-02-08,2025-02,LearningPortal,Medium,Backend,Eka Permata,12,learningportal-api,7,4,1,7,0,657,207
2025-02-08,2025-02,LogisticsOS,Large,Data,Hana Yuliani,26,logisticsos-forecasting,8,2,1,4,1,1026,601
2025-02-09,2025-02,CommerceCore,Large,Backend,Made Lestari,18,commercecore-api,11,3,0,6,4,1420,849
2025-02-09,2025-02,FinSight,Large,Frontend,Naufal Hartono,20,finsight-dashboard,8,4,1,4,1,645,82
2025-02-09,2025-02,FinSight,Large,Frontend,Vina Anwar,20,finsight-dashboard,5,2,0,8,0,646,339
2025-02-09,2025-02,LearningPortal,Medium,Frontend,Dimas Yuliani,12,learningportal-web,16,6,0,4,1,2124,959
2025-02-10,2025-02,LogisticsOS,Large,Mobile,Nadia Permata,26,logisticsos-driver,8,2,1,7,2,1673,677
2025-02-11,2025-02,CampusPay,Small,Data,Farah Permata,5,campuspay-analytics,13,2,0,4,1,1362,880
2025-02-11,2025-02,SupportSuite,Medium,Backend,Citra Hartono,10,supportsuite-api,11,5,0,3,5,1111,405
2025-02-12,2025-02,CommerceCore,Large,Backend,Karina Lestari,18,commercecore-api,16,3,0,5,4,1982,688
2025-02-12,2025-02,InventoryHub,Medium,Backend,Naufal Wijaya,9,inventoryhub-api,18,11,0,7,0,2487,1128
2025-02-12,2025-02,LogisticsOS,Large,Data,Ayu Basuki,26,logisticsos-forecasting,5,1,1,0,2,1100,274
2025-02-13,2025-02,FinSight,Large,Data,Bagas Pratama,20,finsight-pipeline,7,3,1,2,1,1058,318
2025-02-13,2025-02,HealthTrack,Large,DevOps,Bagas Kusuma,22,healthtrack-platform,10,3,1,2,3,1379,896
2025-02-13,2025-02,LogisticsOS,Large,Backend,Eka Ramadhan,26,logisticsos-routing,7,1,1,2,1,794,394
2025-02-13,2025-02,SupportSuite,Medium,DevOps,Bima Nugraha,10,supportsuite-ops,7,4,2,3,1,987,500
2025-02-14,2025-02,FinSight,Large,DevOps,Andi Yuliani,20,finsight-platform,10,4,2,4,2,2051,1274
2025-02-14,2025-02,HealthTrack,Large,Data,Farah Yuliani,22,healthtrack-models,11,3,1,5,0,983,316
2025-02-14,2025-02,SupportSuite,Medium,Frontend,Putri Lestari,10,supportsuite-console,10,7,0,5,1,831,342
2025-02-15,2025-02,CampusPay,Small,Mobile,Citra Saputra,5,campuspay-mobile,10,7,0,8,1,1314,707
2025-02-15,2025-02,FinSight,Large,DevOps,Joko Kusuma,20,finsight-platform,7,2,0,4,2,1815,714
2025-02-15,2025-02,LearningPortal,Medium,Backend,Joko Basuki,12,learningportal-api,9,5,0,6,0,824,413
2025-02-15,2025-02,LearningPortal,Medium,Frontend,Bima Permata,12,learningportal-web,11,7,1,1,3,1024,430
2025-02-15,2025-02,LogisticsOS,Large,Backend,Ilham Anwar,26,logisticsos-api,6,3,1,4,0,1071,696
2025-02-16,2025-02,AuthFlow,Small,Frontend,Arif Permata,4,authflow-web,24,5,0,4,0,1864,1144
2025-02-16,2025-02,LogisticsOS,Large,Frontend,Naufal Basuki,26,logisticsos-control-tower,6,2,1,6,2,550,199
2025-02-17,2025-02,AuthFlow,Small,Backend,Fikri Firmansyah,4,authflow-api,17,5,0,6,2,1170,531
2025-02-17,2025-02,FinSight,Large,Backend,Raka Lestari,20,finsight-api,5,3,1,1,1,510,161
2025-02-17,2025-02,LearningPortal,Medium,Data,Arif Basuki,12,learningportal-recommendation,12,5,1,8,4,2138,784
2025-02-17,2025-02,LogisticsOS,Large,Frontend,Laras Wijaya,26,logisticsos-control-tower,6,3,2,4,0,1108,593
2025-02-18,2025-02,HealthTrack,Large,Backend,Putri Yuliani,22,healthtrack-integration,7,2,1,3,2,716,314
2025-02-18,2025-02,InventoryHub,Medium,Data,Farah Basuki,9,inventoryhub-reporting,10,3,0,7,0,1592,485
2025-02-18,2025-02,SupportSuite,Medium,Frontend,Alya Hartono,10,supportsuite-console,4,3,1,4,1,329,110
2025-02-18,2025-02,SupportSuite,Medium,Frontend,Eka Santoso,10,supportsuite-console,8,4,0,4,2,974,284
2025-02-19,2025-02,HealthTrack,Large,Mobile,Nadia Firmansyah,22,healthtrack-mobile,15,5,2,2,3,3121,578
2025-02-19,2025-02,LogisticsOS,Large,DevOps,Bima Saputra,26,logisticsos-infra,6,1,0,3,1,379,201
